playerID,careerPassYards,careerPassTDs,careerINTs,careerPasserRating,careerCompPct,careerSacks,careerGamesStarted,careerQBRushYards,seasonHighPassYards,seasonHighPassTDs,careerRushYards,careerRushTDs,careerYPC,careerRushAttempts,careerFumbles,seasonHighRushYards,careerRecYards,careerReceptions,careerRecTDs,careerYPR,seasonHighRecYards,seasonHighReceptions,careerTargets,careerTotalTDs,seasonHighRecTDs,seasonHighRushTDs,seasons
00-0020127,0,0,0,0.0,0,0,37,0,0,0,0,0,0,0,3,0,576,76,8,7.6,219,25,76,8,3,0,5
00-0020159,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
00-0020171,0,0,0,0.0,0,0,49,0,0,0,0,0,0,0,2,0,1143,107,12,10.7,436,41,147,12,5,0,4
00-0020173,0,0,0,0.0,0,0,9,0,0,0,79,1,4.65,17,1,65,43,7,0,6.1,38,6,11,1,0,1,2
00-0020181,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,9.0,9,1,1,0,0,0,1
00-0020187,0,0,0,0.0,0,0,28,0,0,0,0,0,0,0,0,0,395,51,4,7.7,168,24,53,4,2,0,5
00-0020226,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0020274,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,37,4,1,9.2,20,2,5,1,1,0,3
00-0020417,0,0,0,0.0,0,0,6,0,0,0,172,1,3.37,51,3,172,11,4,0,2.8,11,4,7,1,0,1,1
00-0020520,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
00-0020542,0,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
00-0020550,0,0,0,0.0,0,0,22,0,0,0,0,0,0,0,0,0,250,30,4,8.3,94,9,32,4,1,0,7
00-0020562,2466,11,11,69.1,0.533,57,15,85,1555,7,85,0,3.27,26,4,74,0,0,0,0,0,0,0,0,0,0,3
00-0020564,0,0,0,0.0,0,0,9,0,0,0,41,0,3.15,13,1,39,12,4,0,3.0,7,3,5,0,0,0,2
00-0020565,2185,8,7,71.8,0.557,28,14,96,1773,6,96,4,2.53,38,4,92,0,0,0,0,0,0,0,4,0,4,3
00-0020583,0,0,0,0.0,0,0,25,0,0,0,0,0,0,0,0,0,697,39,8,17.9,420,20,57,8,8,0,3
00-0020587,0,0,0,0.0,0,0,11,0,0,0,248,2,4.0,62,3,136,34,4,0,8.5,34,4,4,2,0,1,3
00-0020613,1328,13,5,91.4,0.574,12,11,111,986,10,111,2,4.44,25,0,57,0,0,0,0,0,0,0,2,0,2,4
00-0020617,0,0,0,0.0,0,0,17,0,0,0,0,0,0,0,0,0,239,27,2,8.9,83,11,27,2,1,0,4
00-0020676,0,0,0,0.0,0,0,1,0,0,0,11,0,11.0,1,0,11,0,0,0,0,0,0,0,0,0,0,1
00-0020679,8295,50,31,84.8,0.617,83,48,326,2686,16,326,4,3.58,91,8,123,0,1,0,0.0,0,1,1,4,0,2,11
00-0020692,0,0,0,0.0,0,0,12,0,0,0,46,0,5.11,9,0,38,7,4,0,1.8,10,2,5,0,0,0,6
